Sr.No.,ProductName,Category,Brand,SellingPrice,UnitSold,Rating,CostPrice
65,Wool Hat,Accessories,Zara,39999.0,14.0,4.0,20000.0
66,High-End Sunglasses,Accessories,Gucci,79999.0,34.0,4.6,40000.0
67,Luxury Perfume,Beauty,Louis Vuitton,149999.0,74.0,4.5,80000.0
68,Designer Suit,Clothing,Prada,199999.0,94.0,4.7,100000.0
69,Leather Briefcase,Accessories,H&M,299999.0,144.0,4.8,150000.0
70,Cashmere Cardigan,Clothing,Zara,79999.0,34.0,4.3,40000.0
71,Silk Robe,Clothing,Gucci,199999.0,94.0,4.6,100000.0
72,Formal Shirt,Clothing,Louis Vuitton,99999.0,44.0,4.0,50000.0
73,Designer Sweater,Clothing,Prada,119999.0,54.0,4.5,60000.0
74,Casual Watch,Accessories,H&M,69999.0,24.0,4.2,30000.0
75,Luxury Chair,Home & Living,Zara,249999.0,94.0,4.7,100000.0
76,High-End Tie,Clothing,Gucci,49999.0,19.0,4.1,25000.0
77,Designer Slippers,Footwear,Louis Vuitton,59999.0,24.0,4.4,30000.0
78,Luxury Blanket,Home & Living,Prada,149999.0,74.0,4.3,80000.0
79,Leather Tote,Accessories,H&M,119999.0,54.0,4.6,60000.0
80,Belt,Accessories,Louis Vuitton,65000.0,22.0,4.5,55000.0
32321,frg,Clothing,Prada,2321.0,34.0,3.4,224214.0
